DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2024-12-12                09:08:09.165              346.38066164              8313.135879               347.38066164              1734023289.166            0                         963                       1.3999844682E+02          4.5002299662E+01          1.8505599274E+01          4.5015531803E+01          4.5005581078E+01          4.7000000000E+01          0.0000000000E+00          5.1605270770E+04          0.0000000000E+00          3.3678994427E-01          3.4206653640E-01          3.4054329644E-01          3.3667161852E-01          3.4062067209E-01          3.4591679754E-01          3.4424239324E-01          3.4068937496E-01          4.4637056911E+02          4.5141365000E+02          2.0849012117E+00          2.1022318020E+00          6.3991831328E-01          -8.9819676085E-03         0.0000000000E+00          6.7555511733E-01          6.0384574937E+01          7.1823668534E-01          3.8814258971E+01          4.5434464832E+02          6.1318440100E-03          
2024-12-12                09:08:09.905              346.38067021              8313.136085               347.38067021              1734023289.906            0                         963                       1.3999844682E+02          4.5002299662E+01          1.8505599274E+01          4.5015531803E+01          4.5005581078E+01          4.7000000000E+01          0.0000000000E+00          5.1605270770E+04          0.0000000000E+00          3.3679287148E-01          3.4197769800E-01          3.4049968685E-01          3.3667323814E-01          3.4062499082E-01          3.4583201758E-01          3.4420033043E-01          3.4069044478E-01          4.4659669286E+02          4.5164408248E+02          2.0838499019E+00          2.1011780025E+00          6.4014330858E-01          -1.4305054399E-02         0.0000000000E+00          6.7555511733E-01          6.0384574937E+01          7.1823668534E-01          3.8814258971E+01          4.5434464832E+02          6.1318440100E-03          
2024-12-12                09:08:10.470              346.38067674              8313.136242               347.38067674              1734023290.470            0                         963                       1.4000126428E+02          4.5002586365E+01          1.8562500000E+01          4.5015617371E+01          4.5005638123E+01          2.0000000000E+00          0.0000000000E+00          5.1605493137E+04          0.0000000000E+00          3.3596048706E-01          3.4186972387E-01          3.4067994960E-01          3.3667514933E-01          3.3978416878E-01          3.4572791800E-01          3.4438786023E-01          3.4069181668E-01          4.4676906154E+02          4.5181973663E+02          2.0830486306E+00          2.1003748295E+00          6.4031479290E-01          -1.8368006408E-02         0.0000000000E+00          6.7555511733E-01          6.0384574937E+01          7.1823668534E-01          3.8904409464E+01          4.5434464832E+02          -2.9413485500E-02         
2024-12-12                09:08:11.086              346.38068388              8313.136413               347.38068388              1734023291.087            0                         963                       1.3999861145E+02          4.5002586365E+01          1.8562500000E+01          4.5015617371E+01          4.5005638123E+01          4.6000000000E+01          0.0000000000E+00          5.1605136719E+04          0.0000000000E+00          3.3504407205E-01          3.4173911246E-01          3.4085150182E-01          3.3667847346E-01          3.3885500162E-01          3.4560087772E-01          3.4456773015E-01          3.4069461955E-01          4.4695763328E+02          4.5200731965E+02          2.0821720637E+00          2.0994805269E+00          6.3992796381E-01          1.1181189783E-02          0.0000000000E+00          6.7555511733E-01          6.0585802342E+01          7.1823668534E-01          3.8904409464E+01          4.5434464832E+02          -2.9413485500E-02         
2024-12-12                09:08:12.085              346.38069543              8313.136690               347.38069543              1734023292.085            0                         963                       1.3999676259E+02          4.5002586365E+01          1.8562500000E+01          4.5015617371E+01          4.5005638123E+01          4.7000000000E+01          0.0000000000E+00          5.1604422736E+04          0.0000000000E+00          3.3355710554E-01          3.4157163462E-01          3.4110594430E-01          3.3668704440E-01          3.3734758850E-01          3.4543590037E-01          3.4483738107E-01          3.4070260807E-01          4.4607949390E+02          4.5111470568E+02          2.0807551703E+00          2.0980359112E+00          6.3933673430E-01          5.8947769121E-02          0.0000000000E+00          6.6900758273E-01          6.0585802342E+01          7.1358448716E-01          3.8904409464E+01          4.5434464832E+02          -2.9413485500E-02         
2024-12-12                09:08:12.819              346.38070394              8313.136894               347.38070394              1734023292.820            0                         963                       1.3999676259E+02          4.5002586365E+01          1.8562500000E+01          4.5015617371E+01          4.5005638123E+01          4.7000000000E+01          0.0000000000E+00          5.1604422736E+04          0.0000000000E+00          3.3354965915E-01          3.4139991638E-01          3.4101808052E-01          3.3667967965E-01          3.3733745444E-01          3.4526569941E-01          3.4475017262E-01          3.4069470864E-01          4.4543273448E+02          4.5045729760E+02          2.0797116702E+00          2.0969720088E+00          6.3890132422E-01          9.4134247018E-02          0.0000000000E+00          6.6900758273E-01          6.0585802342E+01          7.1358448716E-01          3.8904409464E+01          4.5434464832E+02          -2.9413485500E-02         
2024-12-12                09:08:13.121              346.38070743              8313.136978               347.38070743              1734023293.122            0                         963                       1.3999653625E+02          4.5002586365E+01          1.8500000000E+01          4.5015617371E+01          4.5005638123E+01          2.5000000000E+01          0.0000000000E+00          5.1603687500E+04          0.0000000000E+00          3.3388224456E-01          3.4122906020E-01          3.4099470078E-01          3.3668684428E-01          3.3767274576E-01          3.4509313228E-01          3.4473213535E-01          3.4070139354E-01          4.4516698082E+02          4.5018717136E+02          2.0792829134E+00          2.0965348725E+00          6.3872242464E-01          1.0859419163E-01          0.0000000000E+00          6.6900758273E-01          6.0585802342E+01          7.1358448716E-01          3.8904409464E+01          4.5283213293E+02          -2.9413485500E-02         
2024-12-12                09:08:14.098              346.38071874              8313.137250               347.38071874              1734023294.099            0                         963                       1.3999608935E+02          4.5002586365E+01          1.8500000000E+01          4.5015617371E+01          4.5005638123E+01          4.7000000000E+01          0.0000000000E+00          5.1603445975E+04          0.0000000000E+00          3.3495809828E-01          3.4111016237E-01          3.4099689214E-01          3.3669653812E-01          3.3875733736E-01          3.4497789148E-01          3.4474199710E-01          3.4071063182E-01          4.4430722126E+02          4.4931327686E+02          2.0764142217E+00          2.0936269630E+00          6.3814360052E-01          1.5537535941E-01          0.0000000000E+00          6.7285207959E-01          6.0585802342E+01          7.4935385173E-01          3.8904409464E+01          4.5283213293E+02          -2.9413485500E-02         
2024-12-12                09:08:14.835              346.38072726              8313.137454               347.38072726              1734023294.835            0                         963                       1.3999608935E+02          4.5002586365E+01          1.8500000000E+01          4.5015617371E+01          4.5005638123E+01          4.7000000000E+01          0.0000000000E+00          5.1603445975E+04          0.0000000000E+00          3.3495057234E-01          3.4103489006E-01          3.4092658610E-01          3.3670378200E-01          3.3874710844E-01          3.4490325880E-01          3.4467228909E-01          3.4071738725E-01          4.4365956681E+02          4.4865498617E+02          2.0742531575E+00          2.0914363837E+00          6.3770756980E-01          1.9061107402E-01          0.0000000000E+00          6.7285207959E-01          6.0585802342E+01          7.4935385173E-01          3.8904409464E+01          4.5283213293E+02          -2.9413485500E-02         
2024-12-12                09:08:15.397              346.38073376              8313.137610               347.38073376              1734023295.397            0                         963                       1.3999709315E+02          4.5002489795E+01          1.8549443493E+01          4.5015520801E+01          4.5005662265E+01          2.0000000000E+00          0.0000000000E+00          5.1602989030E+04          0.0000000000E+00          3.3323356857E-01          3.4091868527E-01          3.4070981179E-01          3.3670436554E-01          3.3700865632E-01          3.4478654511E-01          3.4445630829E-01          3.4071740276E-01          4.4316507905E+02          4.4815238407E+02          2.0726029915E+00          2.0897636971E+00          6.3737462888E-01          2.1750451583E-01          0.0000000000E+00          6.7285207959E-01          6.0585802342E+01          7.4935385173E-01          3.8726876086E+01          4.5283213293E+02          2.0655487691E-01          
